date,sample,Trachelomonas,Euglena,Closterium,Scenedesmus quadricauda,Scenedesmus dispar,Scenedesmus acutus,Scenedesmus acuminatus,Pediastrum duplex,Staurodesmus,Monoraphidium,Staurastrum,Euastrum,Cosmarium,Crucigenia,Crucigenia,Elakatothrix,Kirchneriella,Ankistrodesmus falcatus,filamentous_cyanobacterium,Chroococcus,Aphanocapsa,Anabaena sp,Anabaena sp2,Aulacoseira,Gomphonema,Pinnularia,Cyclotella,Cymbella,Fragilaria,Navicula,Cocconeis,Nitzschia,Achnanthidium,Amphora,Surirella,Sellaphora,total abundance,SE,95%CI,95%CI
,0,0,0,1,45,43,29,0,0,3,13,1,0,2,0,0,0,0,4,0,0,23704,0,0,0,1,1,3,0,0,0,0,1,0,5,0,0,23.856,"126,1104014",24.103,23.609
12-oct-18,1,0,0,6,40,142,98,0,0,11,51,0,1,6,24,0,0,2,24,0,17,13781,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,14.211,"119,2109475",14.445,13.978
12-oct-18,2,0,0,0,4,0,20,0,0,0,2,0,0,0,4,0,0,0,8,0,0,17709,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,17.753,"133,2400325",18.014,17.492
12-oct-18,3,0,0,0,16,5,11,0,0,0,11,0,0,0,0,0,3,5,4,0,0,24255,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.312,"180,0456732",24.665,23.959
12-oct-18,4,1,0,0,4,8,12,0,0,0,21,0,0,0,0,0,1,0,0,0,0,37692,138,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37.879,"194,6245584",38.260,37.497
12-oct-18,5,1,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.753,"157,331954",25.062,24.445
12-oct-18,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,156968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.975,"396,2012588",157.752,156.199
11-nov-18,1,0,0,0,32,0,0,26,0,0,223,0,0,0,4,162,0,0,4,0,0,9165,0,0,0,4,1,0,0,0,3,14,0,0,0,1,0,9.639,"98,17602177",9.831,9.446
11-nov-18,2,1,0,0,44,0,0,7,0,0,384,0,0,0,0,65,0,0,0,0,0,9923,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,10.431,"102,1298193",10.631,10.230
11-nov-18,3,0,0,0,28,0,0,0,8,0,77,0,0,0,0,39,0,0,4,0,0,7649,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.806,"88,34927136",7.979,7.632
11-nov-18,4,1,2,0,32,0,0,16,0,0,126,0,0,0,0,31,0,0,0,0,0,9027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.235,"96,09744403",9.423,9.046
11-nov-18,5,0,0,0,24,0,0,20,0,0,78,0,0,0,0,27,0,0,0,0,0,1585,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.737,"41,67545741",1.819,1.655
11-nov-18,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1960,0,13437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.413,"124,1479712",15.656,15.169
18-dic-18,1,0,0,0,8,0,0,0,0,0,147,0,0,0,8,0,0,0,0,0,0,23979,61,182,7,2,0,0,0,0,1,21,0,0,0,0,1,24.417,"156,2605996",24.724,24.111
18-dic-18,2,0,0,0,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,23015,0,33,0,0,0,0,0,0,0,11,0,0,0,0,0,23.095,"151,9693637",23.393,22.797
18-dic-18,3,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,21016,0,0,0,0,0,8,0,0,1,14,0,0,0,0,1,21.074,"145,1702664",21.359,20.790
18-dic-18,4,0,0,0,326,0,0,0,0,0,287,0,0,0,20,0,0,3,0,0,0,161103,10,0,0,0,3,0,0,0,2,76,0,4,0,0,3,161.837,"402,2894636",162.625,161.048
18-dic-18,5,0,0,0,16,0,0,0,0,0,57,0,0,0,4,0,0,1,0,0,0,195900,0,0,0,0,1,2,0,0,1,75,0,0,0,0,0,196.057,"442,783772",196.925,195.190
18-dic-18,6,0,0,0,12,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,169578,0,0,0,1,0,1,1,2,3,13,0,0,0,0,0,169.656,"411,8935314",170.464,168.849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diatoms,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Anabaena 1,,,,,,,,,,,,,,,,,,